,0,code
0,"[This, book, is, a, record, of, a, pleasure, trip, ., If, it, were, a, record, of, a, solemn, scientific, expedition, ,, it, would, have, about, it, that, gravity, ,, that, profundity, ,, and, that, impressive, incomprehensibility, which, are, so, proper, to, works, of, that, kind, ,, and, withal, so, attractive, ., Yet, notwithstanding, it, is, only, a, record, of, a, pic-nic, ,, it, has, a, purpose, ,, which, is, to, suggest, to, the, reader, how, he, would, be, likely, to, see, Europe, and, the, East, if, he, looked, at, them, with, his, own, eyes, instead, of, the, eyes, of, those, ...]",1
1,"[., But, it, was, not, ., There, was, a, tolerably, fair, sprinkling, of, young, folks, ,, and, another, fair, sprinkling, of, gentlemen, and, ladies, who, were, non-committal, as, to, age, ,, being, neither, actually, old, or, absolutely, young, ., The, next, morning, we, weighed, anchor, and, went, to, sea, ., It, was, a, great, happiness, to, get, away, after, this, dragging, ,, dispiriting, delay, ., I, thought, there, never, was, such, gladness, in, the, air, before, ,, such, brightness, in, the, sun, ,, such, beauty, in, the, sea, ., I, was, satisfied, with, the, picnic, then, and, with, all, its, ...]",1
2,"[a, year, ., A, good, many, expedients, were, resorted, to, to, keep, the, excursionists, amused, and, satisfied, ., A, club, was, formed, ,, of, all, the, passengers, ,, which, met, in, the, writing, school, after, prayers, and, read, aloud, about, the, countries, we, were, approaching, and, discussed, the, information, so, obtained, ., Several, times, the, photographer, of, the, expedition, brought, out, his, transparent, pictures, and, gave, us, a, handsome, magic-lantern, exhibition, ., His, views, were, nearly, all, of, foreign, scenes, ,, but, there, were, one, or, two, home, pictures, among, them, ., He, advertised, that, he, would, ``, open, his, ...]",1
3,"[no, particle, of, trimming, about, this, monstrous, capote, ,, as, they, call, it, --, it, is, just, a, plain, ,, ugly, dead-blue, mass, of, sail, ,, and, a, woman, ca, n't, go, within, eight, points, of, the, wind, with, one, of, them, on, ;, she, has, to, go, before, the, wind, or, not, at, all, ., The, general, style, of, the, capote, is, the, same, in, all, the, islands, ,, and, will, remain, so, for, the, next, ten, thousand, years, ,, but, each, island, shapes, its, capotes, just, enough, differently, from, the, others, to, enable, an, observer, to, tell, at, ...]",1
4,"[fog, !, We, got, plenty, of, fresh, oranges, ,, lemons, ,, figs, ,, apricots, ,, etc., ,, in, these, Azores, ,, of, course, ., But, I, will, desist, ., I, am, not, here, to, write, Patent, Office, reports, ., We, are, on, our, way, to, Gibraltar, ,, and, shall, reach, there, five, or, six, days, out, from, the, Azores, ., A, week, of, buffeting, a, tempestuous, and, relentless, sea, ;, a, week, of, seasickness, and, deserted, cabins, ;, of, lonely, quarterdecks, drenched, with, spray, --, spray, so, ambitious, that, it, even, coated, the, smokestacks, thick, with, a, white, crust, of, ...]",1
5,"[and, there, 's, the, ultimate, one, alongside, of, it, ., '', ``, The, ultimate, one, --, that, is, a, good, word, --, but, the, pillars, are, not, both, on, the, same, side, of, the, strait, ., '', (, I, saw, he, had, been, deceived, by, a, carelessly, written, sentence, in, the, guidebook, ., ), ``, Well, ,, it, ai, n't, for, you, to, say, ,, nor, for, me, ., Some, authors, states, it, that, way, ,, and, some, states, it, different, ., Old, Gibbons, do, n't, say, nothing, about, it, --, just, shirks, it, complete, --, Gibbons, always, done, that, ...]",1
6,"[themselves, ., Tangier, has, been, mentioned, in, history, for, three, thousand, years, ., And, it, was, a, town, ,, though, a, queer, one, ,, when, Hercules, ,, clad, in, his, lion, skin, ,, landed, here, ,, four, thousand, years, ago, ., In, these, streets, he, met, Anitus, ,, the, king, of, the, country, ,, and, brained, him, with, his, club, ,, which, was, the, fashion, among, gentlemen, in, those, days, ., The, people, of, Tangier, (, called, Tingis, then, ), lived, in, the, rudest, possible, huts, and, dressed, in, skins, and, carried, clubs, ,, and, were, as, savage, as, the, ...]",1
7,"[a, single, word, !, They, have, literally, nothing, whatever, to, talk, about, ., The, arrival, of, an, American, man-of-war, is, a, godsend, to, them, ., ``, O, Solitude, ,, where, are, the, charms, which, sages, have, seen, in, thy, face, ?, '', It, is, the, completest, exile, that, I, can, conceive, of, ., I, would, seriously, recommend, to, the, government, of, the, United, States, that, when, a, man, commits, a, crime, so, heinous, that, the, law, provides, no, adequate, punishment, for, it, ,, they, make, him, Consul, General, to, Tangier, ., I, am, glad, to, have, seen, Tangier, --, the, ...]",1
8,"[combs, and, toothbrushes, ,, but, this, thing, of, having, to, ring, for, soap, every, time, we, wash, is, new, to, us, and, not, pleasant, at, all, ., We, think, of, it, just, after, we, get, our, heads, and, faces, thoroughly, wet, or, just, when, we, think, we, have, been, in, the, bathtub, long, enough, ,, and, then, ,, of, course, ,, an, annoying, delay, follows, ., These, Marseillaises, make, Marseillaise, hymns, and, Marseilles, vests, and, Marseilles, soap, for, all, the, world, ,, but, they, never, sing, their, hymns, or, wear, their, vests, or, wash, with, their, soap, themselves, ., We, ...]",1
9,"[go, and, put, you, into, it, to, make, sure, that, you, shall, not, go, astray, ., You, can, not, pass, into, the, waiting, room, of, the, depot, till, you, have, secured, your, ticket, ,, and, you, can, not, pass, from, its, only, exit, till, the, train, is, at, its, threshold, to, receive, you, ., Once, on, board, ,, the, train, will, not, start, till, your, ticket, has, been, examined, --, till, every, passenger, 's, ticket, has, been, inspected, ., This, is, chiefly, for, your, own, good, ., If, by, any, possibility, you, have, managed, to, take, the, wrong, train, ,, ...]",1
