|0|code
0|[Having, become, a, candidate, for, the, honorable, office, of, one, of, your, Representatives, in, the, next, General, Assembly, of, this, State, ,, in, according, with, an, established, custom, and, the, principles, of, true, Republicanism, it, becomes, my, duty, to, make, known, to, you, ,, the, people, whom, I, propose, to, represent, ,, my, sentiments, with, regard, to, local, affairs, ., Time, and, experience, have, verified, to, a, demonstration, the, public, utility, of, internal, improvements, ., That, the, poorest, and, most, thinly, populated, countries, would, be, greatly, benefited, by, the, opening, of, good, roads, ,, and, in, the, clearing, of, navigable, ...]|3
1|[that, Mr., Lincoln, was, not, out, of, order, ., Mr., Linder, appealed, to, the, House, ,, but, ,, before, the, question, was, put, ,, withdrew, his, appeal, ,, saying, he, preferred, to, let, the, gentleman, go, on, ;, he, thought, he, would, break, his, own, neck, ., Mr., Lincoln, proceeded, :, ), Another, gracious, condescension, !, I, acknowledge, it, with, gratitude, ., I, know, I, was, not, out, of, order, ;, and, I, know, every, sensible, man, in, the, House, knows, it, ., I, was, not, saying, that, the, gentleman, from, Coles, could, be, bribed, ,, nor, ,, on, the, ...]|3
2|[Reason, cold, ,, calculating, ,, unimpassioned, reason, --, must, furnish, all, the, materials, for, our, future, support, and, defense, ., Let, those, materials, be, moulded, into, general, intelligence, ,, sound, morality, ,, and, in, particular, ,, a, reverence, for, the, Constitution, and, laws, ;, and, that, we, improved, to, the, last, ,, that, we, remained, free, to, the, last, ,, that, we, revered, his, name, to, the, last, ,, that, during, his, long, sleep, we, permitted, no, hostile, foot, to, pass, over, or, desecrate, his, resting, place, ,, shall, be, that, which, to, learn, the, last, trump, shall, awaken, our, ...]|3
3|[first, place, it, is, headed, ``, Joseph, Anderson, vs., Joseph, Miller, ,, '', and, heads, off, ``, Judgment, in, Sangamon, Circuit, Court, ., '', Now, ,, mark, ,, there, never, was, a, case, in, Sangamon, Circuit, Court, entitled, Joseph, Anderson, vs., Joseph, Miller, ., The, case, mentioned, in, my, former, publication, ,, and, the, only, one, between, these, parties, that, ever, existed, in, the, Circuit, Court, ,, was, entitled, Joseph, Miller, vs., Joseph, Anderson, ,, Miller, being, the, plaintiff, ., What, then, becomes, of, all, their, sophistry, about, Adams, not, being, fool, enough, to, forge, an, assignment, that, would, not, ...]|3
4|[same, within, two, years, ., Mr., Lincoln, thought, the, resolutions, ought, to, be, seriously, considered, ., In, reply, to, the, gentleman, from, Adams, ,, he, said, that, it, was, not, to, enrich, the, State, ., The, price, of, the, lands, may, be, raised, ,, it, was, thought, by, some, ;, by, others, ,, that, it, would, be, reduced, ., The, conclusion, in, his, mind, was, that, the, representatives, in, this, Legislature, from, the, country, in, which, the, lands, lie, would, be, opposed, to, raising, the, price, ,, because, it, would, operate, against, the, settlement, of, the, lands, ., He, referred, ...]|3
5|[(, he, was, always, a, Whig, and, deserves, attention, ), ,, Matthew, Crowder, Jr., ,, Greenberry, Smith, ;, John, Fagan, ,, George, Fagan, ,, William, Fagan, (, these, three, fell, out, with, us, about, Early, ,, and, are, doubtful, now, ), ,, John, M., Cartmel, ,, Noah, Rickard, ,, John, Rickard, ,, Walter, Marsh, ., The, foregoing, should, be, addressed, at, Springfield, ., Also, send, some, to, Solomon, Miller, and, John, Auth, at, Salisbury, ., Also, to, Charles, Harper, ,, Samuel, Harper, ,, and, B., C., Harper, ,, and, T., J., Scroggins, ,, John, Scroggins, at, Pulaski, ,, Logan, County, ...]|3
6|[friends, ,, their, fathers, and, mothers, ,, and, brothers, and, sisters, ,, and, many, of, them, from, their, wives, and, children, ,, and, going, into, perpetual, slavery, where, the, lash, of, the, master, is, proverbially, more, ruthless, and, unrelenting, than, any, other, ;, and, yet, amid, all, these, distressing, circumstances, ,, as, we, would, think, them, ,, they, were, the, most, cheerful, and, apparently, happy, creatures, on, board, ., One, ,, whose, offence, for, which, he, had, been, sold, was, an, overfondness, for, his, wife, ,, played, the, fiddle, almost, continually, ,, and, the, others, danced, ,, sang, ,, cracked, ...]|3
7|[judgment, ., '', ``, Be, the, powers, ,, if, ye, 'll, credit, me, so, long, I, 'll, take, another, jist, ., '', By, the, Washingtonians, this, system, of, consigning, the, habitual, drunkard, to, hopeless, ruin, is, repudiated, ., They, adopt, a, more, enlarged, philanthropy, ;, they, go, for, present, as, well, as, future, good, ., They, labor, for, all, now, living, ,, as, well, as, hereafter, to, live, ., They, teach, hope, to, all-despair, to, none, ., As, applying, to, their, cause, ,, they, deny, the, doctrine, of, unpardonable, sin, ;, as, in, Christianity, it, is, taught, ,, so, in, ...]|3
8|[Jeff, ,, we, ca, n't, get, along, without, officers, of, State, ., '', ``, Damn, officers, of, State, !, '', says, he, ;, ``, that, 's, what, Whigs, are, always, hurrahing, for, ., '', ``, Now, ,, do, n't, swear, so, ,, Jeff, ,, '', says, I, ,, ``, you, know, I, belong, to, the, meetin, ', ,, and, swearin, ', hurts, my, feelings, ., '', ``, Beg, pardon, ,, Aunt, 'Becca, ,, '', says, he, ;, ``, but, I, do, say, it, 's, enough, to, make, Dr., Goddard, swear, ,, to, have, tax, to, pay, in, silver, ,, for, ...]|3
9|[be, adopted, ?, Some, of, our, opponents, ,, in, theory, ,, admit, the, propriety, of, a, tariff, sufficient, for, a, revenue, ,, but, even, they, will, not, in, practice, vote, for, such, a, tariff, ;, while, others, boldly, advocate, direct, taxation, ., Inasmuch, ,, therefore, ,, as, some, of, them, boldly, advocate, direct, taxation, ,, and, all, the, rest, --, or, so, nearly, all, as, to, make, exceptions, needless, --, refuse, to, adopt, the, tariff, ,, we, think, it, is, doing, them, no, injustice, to, class, them, all, as, advocates, of, direct, taxation, ., Indeed, ,, we, believe, they, are, ...]|3
