|0|code
0|[Having, become, a, candidate, for, the, honorable, office, of, one, of, your, Representatives, in, the, next, General, Assembly, of, this, State, ,, in, according, with, an, established, custom, and, the, principles, of, true, Republicanism, it, becomes, my, duty, to, make, known, to, you, ,, the, people, whom, I, propose, to, represent, ,, my, sentiments, with, regard, to, local, affairs, ., Time, and, experience, have, verified, to, a, demonstration, the, public, utility, of, internal, improvements, ., That, the, poorest, and, most, thinly, populated, countries, would, be, greatly, benefited, by, the, opening, of, good, roads, ,, and, in, the, clearing, of, navigable, ...]|3
1|[always, be, means, found, to, cheat, the, law, ;, while, in, all, other, cases, it, would, have, its, intended, effect, ., I, would, favor, the, passage, of, a, law, on, this, subject, which, might, not, be, very, easily, evaded, ., Let, it, be, such, that, the, labor, and, difficulty, of, evading, it, could, only, be, justified, in, cases, of, greatest, necessity, ., Upon, the, subject, of, education, ,, not, presuming, to, dictate, any, plan, or, system, respecting, it, ,, I, can, only, say, that, I, view, it, as, the, most, important, subject, which, we, as, a, people, can, be, engaged, ...]|3
2|[I, shall, succeed, in, gratifying, this, ambition, is, yet, to, be, developed, ., I, am, young, ,, and, unknown, to, many, of, you, ., I, was, born, ,, and, have, ever, remained, ,, in, the, most, humble, walks, of, life, ., I, have, no, wealthy, or, popular, relations, or, friends, to, recommend, me, ., My, case, is, thrown, exclusively, upon, the, independent, voters, of, the, county, ;, and, ,, if, elected, ,, they, will, have, conferred, a, favor, upon, me, for, which, I, shall, be, unremitting, in, my, labors, to, compensate, ., But, ,, if, the, good, people, in, their, ...]|3
3|[my, own, judgment, teaches, me, will, best, advance, their, interests, ., Whether, elected, or, not, ,, I, go, for, distributing, the, proceeds, of, the, sales, of, the, public, lands, to, the, several, States, ,, to, enable, our, State, ,, in, common, with, others, ,, to, dig, canals, and, construct, railroads, without, borrowing, money, and, paying, the, interest, on, it, ., If, alive, on, the, first, Monday, in, November, ,, I, shall, vote, for, Hugh, L., White, for, President, ., I, am, told, that, during, my, absence, last, week, you, passed, through, this, place, ,, and, stated, publicly, that, you, were, ...]|3
4|[as, the, two, Houses, get, to, business, ., Taylor, delivered, up, his, petition, for, the, new, county, to, one, of, our, members, this, morning, ., I, am, told, he, despairs, of, its, success, ,, on, account, of, all, the, members, from, Morgan, County, opposing, it, ., There, are, names, enough, on, the, petition, ,, I, think, ,, to, justify, the, members, from, our, county, in, going, for, it, ;, but, if, the, members, from, Morgan, oppose, it, ,, which, they, say, they, will, ,, the, chance, will, be, bad, ., Our, chance, to, take, the, seat, of, government, to, Springfield, ...]|3
5|[game, ., On, the, same, fortunate, occasion, ,, he, further, gave, us, to, understand, ,, that, he, regarded, himself, as, being, decidedly, the, superior, of, our, common, friend, from, Randolph, [, Mr., Shields, ], ;, and, feeling, ,, as, I, really, do, ,, that, I, ,, to, say, the, most, of, myself, ,, am, nothing, more, than, the, peer, of, our, friend, from, Randolph, ,, I, shall, regard, the, gentleman, from, Coles, as, decidedly, my, superior, also, ,, and, consequently, ,, in, the, course, of, what, I, shall, have, to, say, ,, whenever, I, shall, have, occasion, to, allude, to, ...]|3
6|[which, this, resolution, proposes, to, appoint, are, to, examine, into, the, Constitutionality, of, the, Bank, ?, Are, they, to, be, clothed, with, power, to, send, for, persons, and, papers, ,, for, this, object, ?, And, after, they, have, found, the, bank, to, be, unconstitutional, ,, and, decided, it, so, ,, how, are, they, to, enforce, their, decision, ?, What, will, their, decision, amount, to, ?, They, can, not, compel, the, Bank, to, cease, operations, ,, or, to, change, the, course, of, its, operations, ., What, good, ,, then, ,, can, their, labors, result, in, ?, Certainly, none, ., The, gentleman, ...]|3
7|[the, people, 's, money, being, used, to, pay, the, fiddler, ., No, one, can, doubt, that, the, examination, proposed, by, this, resolution, must, cost, the, State, some, ten, or, twelve, thousand, dollars, ;, and, all, this, to, settle, a, question, in, which, the, people, have, no, interest, ,, and, about, which, they, care, nothing, ., These, capitalists, generally, act, harmoniously, and, in, concert, ,, to, fleece, the, people, ,, and, now, that, they, have, got, into, a, quarrel, with, themselves, we, are, called, upon, to, appropriate, the, people, 's, money, to, settle, the, quarrel, ., I, leave, this, part, of, ...]|3
8|[,, Sir, ,, not, many, days, since, ,, one, gentleman, upon, this, floor, ,, who, ,, by, the, way, ,, I, have, no, doubt, is, now, ready, to, join, this, hue, and, cry, against, the, Bank, ,, indulged, in, a, philippic, against, one, of, the, Bank, officials, ,, because, ,, as, he, said, ,, he, had, divulged, a, secret, ., Immediately, following, this, last, charge, ,, there, are, several, insinuations, in, the, resolution, ,, which, are, too, silly, to, require, any, sort, of, notice, ,, were, it, not, for, the, fact, that, they, conclude, by, saying, ,, ``, to, the, ...]|3
9|[men, ., I, say, this, with, the, greater, freedom, ,, because, ,, being, a, politician, myself, ,, none, can, regard, it, as, personal, ., Again, ,, it, is, charged, ,, or, rather, insinuated, ,, that, officers, of, the, Bank, have, loaned, money, at, usurious, rates, of, interest, ., Suppose, this, to, be, true, ,, are, we, to, send, a, committee, of, this, House, to, inquire, into, it, ?, Suppose, the, committee, should, find, it, true, ,, can, they, redress, the, injured, individuals, ?, Assuredly, not, ., If, any, individual, had, been, injured, in, this, way, ,, is, there, not, an, ...]|3
