,0,code
0,"[THIS, little, volume, (, the, result, of, meditation, and, experience, ), is, not, intended, as, an, exhaustive, treatise, on, the, much-written-upon, subject, of, the, power, of, thought, ., It, is, suggestive, rather, than, explanatory, ,, its, object, being, to, stimulate, men, and, women, to, the, discovery, and, perception, of, the, truth, that, --, '', They, themselves, are, makers, of, themselves, ., '', by, virtue, of, the, thoughts, ,, which, they, choose, and, encourage, ;, that, mind, is, the, master-weaver, ,, both, of, the, inner, garment, of, character, and, the, outer, garment, of, circumstance, ,, and, that, ,, as, they, may, ...]",100
1,"[a, means, of, obtaining, that, knowledge, of, himself, which, is, Understanding, ,, Wisdom, ,, Power, ., In, this, direction, ,, as, in, no, other, ,, is, the, law, absolute, that, ``, He, that, seeketh, findeth, ;, and, to, him, that, knocketh, it, shall, be, opened, ;, '', for, only, by, patience, ,, practice, ,, and, ceaseless, importunity, can, a, man, enter, the, Door, of, the, Temple, of, Knowledge, ., EFFECT, OF, THOUGHT, ON, CIRCUMSTANCES, MAN, 'S, mind, may, be, likened, to, a, garden, ,, which, may, be, intelligently, cultivated, or, allowed, to, run, wild, ;, but, whether, cultivated, or, neglected, ...]",100
2,"[into, crime, by, stress, of, any, mere, external, force, ;, the, criminal, thought, had, long, been, secretly, fostered, in, the, heart, ,, and, the, hour, of, opportunity, revealed, its, gathered, power, ., Circumstance, does, not, make, the, man, ;, it, reveals, him, to, himself, No, such, conditions, can, exist, as, descending, into, vice, and, its, attendant, sufferings, apart, from, vicious, inclinations, ,, or, ascending, into, virtue, and, its, pure, happiness, without, the, continued, cultivation, of, virtuous, aspirations, ;, and, man, ,, therefore, ,, as, the, lord, and, master, of, thought, ,, is, the, maker, of, himself, the, shaper, and, author, ...]",100
3,"[so, ,, vastly, with, individuals, ,, that, a, man, 's, entire, soul-condition, (, although, it, may, be, known, to, himself, ), can, not, be, judged, by, another, from, the, external, aspect, of, his, life, alone, ., A, man, may, be, honest, in, certain, directions, ,, yet, suffer, privations, ;, a, man, may, be, dishonest, in, certain, directions, ,, yet, acquire, wealth, ;, but, the, conclusion, usually, formed, that, the, one, man, fails, _because, of, his, particular, honesty, ,, _, and, that, the, other, _prospers, because, of, his, particular, dishonesty, ,, _, is, the, result, of, a, superficial, judgment, ,, which, ...]",100
4,"[,, is, the, moulding, and, moving, force, in, the, spiritual, government, of, the, world, ., This, being, so, ,, man, has, but, to, right, himself, to, find, that, the, universe, is, right, ;, and, during, the, process, of, putting, himself, right, he, will, find, that, as, he, alters, his, thoughts, towards, things, and, other, people, ,, things, and, other, people, will, alter, towards, him, ., The, proof, of, this, truth, is, in, every, person, ,, and, it, therefore, admits, of, easy, investigation, by, systematic, introspection, and, self-analysis, ., Let, a, man, radically, alter, his, thoughts, ,, and, he, will, be, ...]",100
5,"[if, not, physically, indulged, ,, will, soon, shatter, the, nervous, system, ., Strong, ,, pure, ,, and, happy, thoughts, build, up, the, body, in, vigour, and, grace, ., The, body, is, a, delicate, and, plastic, instrument, ,, which, responds, readily, to, the, thoughts, by, which, it, is, impressed, ,, and, habits, of, thought, will, produce, their, own, effects, ,, good, or, bad, ,, upon, it, ., Men, will, continue, to, have, impure, and, poisoned, blood, ,, so, long, as, they, propagate, unclean, thoughts, ., Out, of, a, clean, heart, comes, a, clean, life, and, a, clean, body, ., Out, of, ...]",100
6,"[new, starting-point, for, future, power, and, triumph, ., Those, who, are, not, prepared, for, the, apprehension, of, a, _great_, purpose, should, fix, the, thoughts, upon, the, faultless, performance, of, their, duty, ,, no, matter, how, insignificant, their, task, may, appear, ., Only, in, this, way, can, the, thoughts, be, gathered, and, focussed, ,, and, resolution, and, energy, be, developed, ,, which, being, done, ,, there, is, nothing, which, may, not, be, accomplished, ., The, weakest, soul, ,, knowing, its, own, weakness, ,, and, believing, this, truth, _that, strength, can, only, be, developed, by, effort, and, practice, ,, _, will, ,, ...]",100
7,"[lift, his, thoughts, above, slavish, animal, indulgence, ., He, may, not, ,, in, order, to, succeed, ,, give, up, all, animality, and, selfishness, ,, by, any, means, ;, but, a, portion, of, it, must, ,, at, least, ,, be, sacrificed, ., A, man, whose, first, thought, is, bestial, indulgence, could, neither, think, clearly, nor, plan, methodically, ;, he, could, not, find, and, develop, his, latent, resources, ,, and, would, fail, in, any, undertaking, ., Not, having, commenced, to, manfully, control, his, thoughts, ,, he, is, not, in, a, position, to, control, affairs, and, to, adopt, serious, responsibilities, ., He, is, ...]",100
8,"[world, will, at, last, be, built, ., To, desire, is, to, obtain, ;, to, aspire, is, to, ,, achieve, ., Shall, man, 's, basest, desires, receive, the, fullest, measure, of, gratification, ,, and, his, purest, aspirations, starve, for, lack, of, sustenance, ?, Such, is, not, the, Law, :, such, a, condition, of, things, can, never, obtain, :, ``, ask, and, receive, ., '', Dream, lofty, dreams, ,, and, as, you, dream, ,, so, shall, you, become, ., Your, Vision, is, the, promise, of, what, you, shall, one, day, be, ;, your, Ideal, is, the, prophecy, of, what, you, shall, at, ...]",100
9,"[forth, ,, of, the, faith, they, have, exercised, ,, that, they, might, overcome, the, apparently, insurmountable, ,, and, realize, the, Vision, of, their, heart, ., They, do, not, know, the, darkness, and, the, heartaches, ;, they, only, see, the, light, and, joy, ,, and, call, it, '', luck, '', ., They, do, not, see, the, long, and, arduous, journey, ,, but, only, behold, the, pleasant, goal, ,, and, call, it, ``, good, fortune, ,, '', do, not, understand, the, process, ,, but, only, perceive, the, result, ,, and, call, it, chance, ., In, all, human, affairs, there, are, _efforts, ,, ...]",100
10,"[?, re, doing, and, go, along, with, your, guise, of, being, confident, ., You, pretend, really, well, !, ME, :, Thank, you, so, much, !, I, ?, ?, ?, ve, been, honing, my, pretending, skills, for, a, while, ., I, ?, ?, ?, ve, had, several, of, these, interviews, and, some, of, them, have, even, resulted, in, actual, jobs.INTERVIEWER, :, That, ?, ?, ?, s, wonderful, ,, but, I, don, ?, ?, ?, t, actually, care, ., Let, ?, ?, ?, s, get, started, ., Tell, me, about, yourself.ME, :, You, know, how, much, I, hate, that, question, ,, but, ...]",100
