,0,code
0,"[THIS, little, volume, (, the, result, of, meditation, and, experience, ), is, not, intended, as, an, exhaustive, treatise, on, the, much-written-upon, subject, of, the, power, of, thought, ., It, is, suggestive, rather, than, explanatory, ,, its, object, being, to, stimulate, men, and, women, to, the, discovery, and, perception, of, the, truth, that, --, '', They, themselves, are, makers, of, themselves, ., '', by, virtue, of, the, thoughts, ,, which, they, choose, and, encourage, ;, that, mind, is, the, master-weaver, ,, both, of, the, inner, garment, of, character, and, the, outer, garment, of, circumstance, ,, and, that, ,, as, they, may, ...]",100
1,"[crime, by, stress, of, any, mere, external, force, ;, the, criminal, thought, had, long, been, secretly, fostered, in, the, heart, ,, and, the, hour, of, opportunity, revealed, its, gathered, power, ., Circumstance, does, not, make, the, man, ;, it, reveals, him, to, himself, No, such, conditions, can, exist, as, descending, into, vice, and, its, attendant, sufferings, apart, from, vicious, inclinations, ,, or, ascending, into, virtue, and, its, pure, happiness, without, the, continued, cultivation, of, virtuous, aspirations, ;, and, man, ,, therefore, ,, as, the, lord, and, master, of, thought, ,, is, the, maker, of, himself, the, shaper, and, author, of, ...]",100
2,"[the, moulding, and, moving, force, in, the, spiritual, government, of, the, world, ., This, being, so, ,, man, has, but, to, right, himself, to, find, that, the, universe, is, right, ;, and, during, the, process, of, putting, himself, right, he, will, find, that, as, he, alters, his, thoughts, towards, things, and, other, people, ,, things, and, other, people, will, alter, towards, him, ., The, proof, of, this, truth, is, in, every, person, ,, and, it, therefore, admits, of, easy, investigation, by, systematic, introspection, and, self-analysis, ., Let, a, man, radically, alter, his, thoughts, ,, and, he, will, be, astonished, at, ...]",100
3,"[future, power, and, triumph, ., Those, who, are, not, prepared, for, the, apprehension, of, a, _great_, purpose, should, fix, the, thoughts, upon, the, faultless, performance, of, their, duty, ,, no, matter, how, insignificant, their, task, may, appear, ., Only, in, this, way, can, the, thoughts, be, gathered, and, focussed, ,, and, resolution, and, energy, be, developed, ,, which, being, done, ,, there, is, nothing, which, may, not, be, accomplished, ., The, weakest, soul, ,, knowing, its, own, weakness, ,, and, believing, this, truth, _that, strength, can, only, be, developed, by, effort, and, practice, ,, _, will, ,, thus, believing, ,, ...]",100
4,"[be, built, ., To, desire, is, to, obtain, ;, to, aspire, is, to, ,, achieve, ., Shall, man, 's, basest, desires, receive, the, fullest, measure, of, gratification, ,, and, his, purest, aspirations, starve, for, lack, of, sustenance, ?, Such, is, not, the, Law, :, such, a, condition, of, things, can, never, obtain, :, ``, ask, and, receive, ., '', Dream, lofty, dreams, ,, and, as, you, dream, ,, so, shall, you, become, ., Your, Vision, is, the, promise, of, what, you, shall, one, day, be, ;, your, Ideal, is, the, prophecy, of, what, you, shall, at, last, unveil, ., The, ...]",100
5,"[along, with, your, guise, of, being, confident, ., You, pretend, really, well, !, ME, :, Thank, you, so, much, !, I, ?, ?, ?, ve, been, honing, my, pretending, skills, for, a, while, ., I, ?, ?, ?, ve, had, several, of, these, interviews, and, some, of, them, have, even, resulted, in, actual, jobs.INTERVIEWER, :, That, ?, ?, ?, s, wonderful, ,, but, I, don, ?, ?, ?, t, actually, care, ., Let, ?, ?, ?, s, get, started, ., Tell, me, about, yourself.ME, :, You, know, how, much, I, hate, that, question, ,, but, I, ?, ?, ?, m, ...]",100
6,"[That, ?, ?, ?, s, a, name, that, everybody, knows, and, it, was, supposed, to, establish, credibility, with, the, customer.Q, :, But, you, had, no, association, with, Frito, Lay, ?, A, :, No.Q, :, OK, so, you, ?, ?, ?, re, having, these, pep, rallies.A, :, Yeah, ., There, was, one, salesman, who, was, like, the, leader, and, his, name, was, Johnny, Walker, ,, just, like, the, whiskey, ., He, was, right, out, of, a, movie, ., He, had, suspenders, ,, gray, hair, ?, ?, ?, He, was, a, grizzled, old, chain, smoker.They, called, selling, a, whole, case, ?, ?, ...]",100
7,"[replant, with, a, different, ,, hardier, species, ., That, kind, of, takes, the, fun, out, of, it.Instead, ,, I, could, go, shut-in, style, ., For, three, decades, ,, my, uncle, has, been, afraid, to, go, out, at, night, for, fear, he, ?, ?, ?, ll, be, mugged, or, murdered, ., I, sometimes, get, on, my, high-horse, and, call, him, racist, (, someone, has, to, do, it, ), ,, but, I, respect, the, level, of, fear, he, harbors, ., That, said, ,, who, is, he, worrying, about, ?, Himself, ., And, how, is, he, sharing, his, worry, with, the, broader, community, ...]",100
8,"[I, ?, ?, ?, ll, be, able, to, sit, them, down, and, proudly, tell, them, that, I, wrote, some, really, clever, tweets.I, took, on, this, hateful, movement, of, racism, and, xenophobia, with, multiple, social, media, posts, of, less, than, 140, characters, ., Sometimes, ,, I, would, even, mention, Trump, directly, so, he, could, read, them, himself, ., My, dozens, of, followers, would, stare, at, their, phones, with, bated, breath, ,, waiting, for, my, brilliant, commentary, that, was, not, only, profound, ,, but, often, quite, funny, too, ., I, bet, I, swayed, some, undecided, voters, ,, and, I, wouldn, ?, ?, ...]",100
9,"[semen, ?, ?, ?, ,, ?, ?, ?, giggled, Jane., ?, ?, ?, And, this, Spouter, Inn, you, mention, ,, Admiral, Stinky, ,, it, sounds, like, a, total, dive, ., Don, ?, ?, ?, t, ever, take, me, there, ,, mmmkay, ?, ?, ?, ?, ?, ?, ?, Nay, ,, woman, ,, I, shan, ?, ?, ?, t, ., It, is, not, meant, for, one, as, dainty, as, you.There, ,, I, will, meet, the, otherswho, will, go, on, this, terrific, journey, with, me.Lads, with, names, like, ?, ?, ?, Queequeg, ?, ?, ?, and, ?, ?, ?, Flask., ?, ?, ...]",100
10,"[thought, ,, well, ,, heck, ,, this, is, it, !, We, ?, ?, ?, ve, arrived, !, This, is, the, village, of, 9-, and, 11-year-old, girls, it, will, take, to, raise, my, child, !, When, we, first, moved, to, this, neighborhood, I, had, high, hopes, ., I, have, always, dreamed, of, finding, that, spirit, of, the, old, African, proverb, :, ?, ?, ?, Omwana, ni, wa, bhone, ,, ?, ?, ?, which, means, It, takes, a, village, of, pretty, much, anyone, other, than, myself, to, raise, my, child, ,, wherever, we, end, up, ., Before, now, ,, I, have, asked, ...]",100
11,"[?, ?, ll, offer, to, pay, for, the, meal, ,, then, when, the, check, comes, I, ?, ?, ?, ll, light, a, napkin, on, fire, and, disappear, out, a, bathroom, window, ., Sometimes, I, ?, ?, ?, ll, text, back, the, next, day, ,, other, times, it, will, be, months, and, I, ?, ?, ?, ll, explain, that, I, ?, ?, ?, ve, changed, my, name, and, moved, to, Argentina, ., This, system, has, worked, surprisingly, well, ., I, ?, ?, ?, ve, had, over, twenty-five, first, dates, in, the, past, year.In, a, certain, way, ,, I, understand, women, better, ...]",100
12,"[respect, to, her, callers, ., Over, the, past, year, ,, I, ?, ?, ?, ve, come, to, recognize, the, people, she, calls, by, their, voices, and, consider, them, ?, ?, ?, friends, of, a, friend., ?, ?, ?, And, they, should, receive, some, sort, of, courtesy, ., Monica, ?, ?, ?, s, preferred, phone, booth, is, ,, of, course, ,, the, handicap, stall, ., Whether, or, not, we, want, it, ,, Monica, brings, everyone, into, the, personal, business, of, her, daughter, ?, ?, ?, s, daycare, schedule, ,, her, diabetic, cat, ,, and, other, family, issues, ., The, least, Monica, ...]",100
13,"[to, social, media, ?, Could, you, write, content, in, your, sleep, ?, Are, you, willing, to, die, in, your, place, of, employment, ?, Then, Hybleeys, is, looking, for, you, !, Hybleeys, is, a, group, of, dynamic, social, media, professionals, working, in, the, B2B, startup, space, ,, and, we, love, using, our, extreme, over-dedication, to, ultimately, meaningless, work, as, an, excuse, to, leave, our, personal, problems, completely, unexamined, ., We, ?, ?, ?, re, looking, for, a, new, team, member, to, join, us, in, our, swanky, downtown, office, and, turn, into, a, husk, of, their, former, selves, ,, rotting, on, the, ...]",100
