|0|code
0|[LE, JARDIN, ., The, lily, 's, withered, chalice, falls, Around, its, rod, of, dusty, gold, ,, And, from, the, beech, trees, on, the, wold, The, last, wood-pigeon, coos, and, calls, ., The, gaudy, leonine, sunflower, Hangs, black, and, barren, on, its, stalk, ,, And, down, the, windy, garden, walk, The, dead, leaves, scatter, ,, --, hour, by, hour, ., Pale, privet-petals, white, as, milk, Are, blown, into, a, snowy, mass, ;, The, roses, lie, upon, the, grass, ,, Like, little, shreds, of, crimson, silk, ., LA, MER, ., A, white, mist, drifts, across, the, shrouds, ,, A, wild, moon, in, ...]|2
1|[by, morality, ., All, beautiful, things, belong, to, the, same, age, ., It, is, personalities, ,, not, principles, ,, that, move, the, age, ., Modern, pictures, are, ,, no, doubt, ,, delightful, to, look, at, ., At, least, ,, some, of, them, are, ., But, they, are, quite, impossible, to, live, with, ;, they, are, too, clever, ,, too, assertive, ,, too, intellectual, ., Their, meaning, is, too, obvious, and, their, method, too, clearly, defined, ., One, exhausts, what, they, have, to, say, in, a, very, short, time, ,, and, then, they, become, as, tedious, as, one, 's, relations, ., ...]|2
2|[us, everything, ,, even, our, gigantic, intellects, ., Society, is, a, necessary, thing, ., No, man, has, any, real, success, in, this, world, unless, he, has, got, women, to, back, him, --, and, women, rule, society, ., If, you, have, not, got, women, on, your, side, you, are, quite, over, ., You, might, just, as, well, be, a, barrister, or, a, stockbroker, or, a, journalist, at, once, ., The, worship, of, the, senses, has, often, ,, and, with, much, justice, ,, been, decried, ;, men, feeling, a, natural, instinct, of, terror, about, passions, and, sensations, that, seem, stronger, than, themselves, ...]|2
3|[the, burning, mouth, of, June, ,, and, the, winged, lions, creep, out, from, the, hollows, of, the, Lydian, hills, ., The, dryads, peer, from, the, thicket, as, she, passes, by, ,, and, the, brown, fauns, smile, strangely, at, her, when, she, comes, near, them, ., She, has, hawk-faced, gods, that, worship, her, ,, and, the, centaurs, gallop, at, her, side, ., In, literature, mere, egotism, is, delightful, ., If, we, live, for, aims, we, blunt, our, emotions, ., If, we, live, for, aims, we, live, for, one, minute, ,, for, one, day, ,, for, one, year, ,, instead, of, for, ...]|2
4|[buried, in, so, sweet, a, place, ?, ;, and, indeed, when, I, saw, the, violets, and, the, daisies, and, the, poppies, that, overgrow, the, tomb, ,, I, remembered, how, the, dead, poet, had, once, told, his, friend, that, he, thought, the, ?, intensest, pleasure, he, had, received, in, life, was, in, watching, the, growth, of, flowers, ,, ?, and, how, another, time, ,, after, lying, a, while, quite, still, ,, he, murmured, in, some, strange, prescience, of, early, death, ,, ?, I, feel, the, flowers, growing, over, me., ?, But, this, time-worn, stone, and, these, wildflowers, are, but, poor, memorials, ...]|2
5|[The, third, class, is, by, far, the, most, important, ., To, tell, people, what, to, read, is, ,, as, a, rule, ,, either, useless, or, harmful, ;, for, ,, the, appreciation, of, literature, is, a, question, of, temperament, not, of, teaching, ;, to, Parnassus, there, is, no, primer, and, nothing, that, one, can, learn, is, ever, worth, learning, ., But, to, tell, people, what, not, to, read, is, a, very, different, matter, ,, and, I, venture, to, recommend, it, as, a, mission, to, the, University, Extension, Scheme, ., Indeed, ,, it, is, one, that, is, eminently, needed, in, this, age, ...]|2
6|[Loyola, and, the, rise, of, the, Society, of, Jesus, is, extremely, interesting, ,, though, we, can, not, think, that, Mr., Symonds, is, very, happy, in, his, comparison, of, the, Jesuits, to, ?, fanatics, laying, stones, upon, a, railway, ?, or, ?, dynamiters, blowing, up, an, emperor, or, a, corner, of, Westminster, Hall., ?, Such, a, judgment, is, harsh, and, crude, in, expression, and, more, suitable, to, the, clamour, of, the, Protestant, Union, than, to, the, dignity, of, the, true, historian, ., Mr., Symonds, ,, however, ,, is, rarely, deliberately, unfair, ,, and, there, is, no, doubt, but, that, his, work, ...]|2
7|[title, ., It, is, the, fashion, nowadays, to, label, literature, ,, so, ,, no, doubt, ,, Mrs., Woods, 's, novel, will, be, spoken, of, as, ?, realistic., ?, Its, realism, ,, however, ,, is, the, realism, of, the, artist, ,, not, of, the, reporter, ;, its, tact, of, treatment, ,, subtlety, of, perception, ,, and, fine, distinction, of, style, ,, make, it, rather, a, poem, than, a, _proc's-verbal_, ;, and, though, it, lays, bare, to, us, the, mere, misery, of, life, ,, it, suggests, something, of, life, 's, mystery, also, ., Very, delicate, ,, too, ,, is, the, handling, of, ...]|2
8|[and, anachronisms, ., Miss, Stokes, 's, proposal, for, an, ark-shaped, church, in, which, the, mural, painter, is, to, repeat, the, arcades, and, ?, follow, the, architectural, compositions, of, the, grand, pages, of, the, Eusebian, canons, in, the, Book, of, Kells, ,, ?, has, ,, of, course, ,, nothing, grotesque, about, it, ,, but, it, is, not, probable, that, the, artistic, genius, of, the, Irish, people, will, ,, even, when, ?, the, land, has, rest, ,, ?, find, in, such, interesting, imitations, its, healthiest, or, best, expression, ., Still, ,, there, are, certain, elements, of, beauty, in, ancient, Irish, art, that, ...]|2
9|[period, of, their, artistic, development, ,, but, that, it, agrees, distinctly, with, certain, well-known, statues, of, Victory, ,, such, as, the, celebrated, ?, Victory, of, Brescia., ?, The, latter, is, in, bronze, ,, is, later, ,, and, has, the, wings, ,, but, the, type, is, unmistakable, ,, and, though, not, a, reproduction, it, is, certainly, a, recollection, of, the, Melian, statue, ., The, representation, of, Victory, on, the, coin, of, Agathocles, is, also, obviously, of, the, Melian, type, ,, and, in, the, museum, of, Naples, is, a, terra-cotta, Victory, in, almost, the, identical, action, and, drapery, ., As, for, Dumont, ...]|2
10|[withdrawing, threads, from, stout, linen, ,, it, would, be, more, convenient, to, introduce, a, needle-made, pattern, into, an, open, network, ground, ,, which, was, called, a, _lacis_, ., Of, this, kind, of, embroidery, many, specimens, are, extant, ., The, Cluny, Museum, possesses, a, linen, cap, said, to, have, belonged, to, Charles, V., ;, and, an, alb, of, linen, drawn-thread, work, ,, supposed, to, have, been, made, by, Anne, of, Bohemia, (, 1527, ), ,, is, preserved, in, the, cathedral, at, Prague, ., Catherine, de, Medicis, had, a, bed, draped, with, squares, of, _r'seuil_, ,, or, _lacis_, ,, and, it, is, ...]|2
11|[as, deepens, the, nature, ., In, these, words, Walt, Whitman, gives, us, the, true, attitude, we, should, adopt, towards, his, work, ,, having, ,, indeed, ,, a, much, saner, view, of, the, value, and, meaning, of, that, work, than, either, his, eloquent, admirers, or, noisy, detractors, can, boast, of, possessing, ., His, last, book, ,, _November, Boughs_, ,, as, he, calls, it, ,, published, in, the, winter, of, the, old, man, 's, life, ,, reveals, to, us, ,, not, indeed, a, soul, 's, tragedy, ,, for, its, last, note, is, one, of, joy, and, hope, ,, and, noble, and, unshaken, ...]|2
12|[?, for, sheer, love, ,, and, not, for, money, ., They, could, not, understand, his, doing, work, ?, for, nowt, ,, ?, and, held, his, occupation, in, somewhat, light, esteem, because, it, did, not, bring, in, ?, a, deal, o, ?, brass, to, the, pocket., ?, ?, Did, you, ever, read, his, poetry, ,, or, see, any, books, about, in, the, farmhouses, ?, ?, asked, Mr., Rawnsley, ., The, answer, was, curious, :, ?, Ay, ,, ay, ,, time, or, two, ., But, ya, ?, re, weel, aware, there, 's, potry, and, potry, ., There, 's, potry, wi, ?, a, ...]|2
13|[yet, convey, something, of, the, charm, of, chance, ;, or, from, a, desire, to, suggest, the, secondary, shades, of, meaning, with, all, their, accumulating, effect, ,, and, to, avoid, ,, it, may, be, ,, the, violence, and, harshness, of, too, definite, and, exclusive, an, opinion, ., For, in, matters, of, art, ,, at, any, rate, ,, thought, is, inevitably, coloured, by, emotion, ,, and, so, is, fluid, rather, than, fixed, ,, and, ,, recognizing, its, dependence, upon, the, moods, and, upon, the, passion, of, fine, moments, ,, will, not, accept, the, rigidity, of, a, scientific, formula, or, a, theological, dogma, ...]|2
14|[solve, ., It, is, ,, however, ,, certain, that, Socialism, starts, well, equipped, ., She, has, her, poets, and, her, painters, ,, her, art, lecturers, and, her, cunning, designers, ,, her, powerful, orators, and, her, clever, writers, ., If, she, fails, it, will, not, be, for, lack, of, expression, ., If, she, succeeds, her, triumph, will, not, be, a, triumph, of, mere, brute, force, ., Socialism, is, not, going, to, allow, herself, to, be, trammelled, by, any, hard, and, fast, creed, or, to, be, stereotyped, into, an, iron, formula, ., She, welcomes, many, and, multiform, natures, ., She, rejects, none, ...]|2
15|[help, detesting, my, relations, ., I, suppose, it, comes, from, the, fact, that, none, of, us, can, stand, other, people, having, the, same, faults, as, ourselves, ., I, quite, sympathize, with, the, rage, of, the, English, democracy, against, what, they, call, the, vices, of, the, upper, orders, ., The, masses, feel, that, drunkenness, ,, stupidity, ,, and, immorality, should, be, their, own, special, property, ,, and, that, if, any, one, of, us, makes, an, ass, of, himself, ,, he, is, poaching, on, their, preserves, ., When, poor, Southwark, got, into, the, divorce, court, ,, their, indignation, was, quite, magnificent, ., ...]|2
16|[the, hopeless, failure, ,, or, giving, away, your, life, to, the, ignorant, ,, the, common, ,, and, the, vulgar, ., These, are, the, sickly, aims, ,, the, false, ideals, ,, of, our, age, ., Live, !, Live, the, wonderful, life, that, is, in, you, !, Let, nothing, be, lost, upon, you, ., Be, always, searching, for, new, sensations, ., Be, afraid, of, nothing, ..., ., A, new, Hedonism, --, that, is, what, our, century, wants, ., You, might, be, its, visible, symbol, ., With, your, personality, there, is, nothing, you, could, not, do, ., The, world, belongs, to, you, for, ...]|2
17|[were, themselves, patterns, of, some, other, and, more, perfect, form, whose, shadow, they, made, real, :, how, strange, it, all, was, !, He, remembered, something, like, it, in, history, ., Was, it, not, Plato, ,, that, artist, in, thought, ,, who, had, first, analyzed, it, ?, Was, it, not, Buonarotti, who, had, carved, it, in, the, coloured, marbles, of, a, sonnet-sequence, ?, But, in, our, own, century, it, was, strange, ..., ., Yes, ;, he, would, try, to, be, to, Dorian, Gray, what, ,, without, knowing, it, ,, the, lad, was, to, the, painter, who, had, fashioned, the, wonderful, portrait, ...]|2
18|[her, ?, Harry, ,, I, do, love, her, ., She, is, everything, to, me, in, life, ., Night, after, night, I, go, to, see, her, play, ., One, evening, she, is, Rosalind, ,, and, the, next, evening, she, is, Imogen, ., I, have, seen, her, die, in, the, gloom, of, an, Italian, tomb, ,, sucking, the, poison, from, her, lover, 's, lips, ., I, have, watched, her, wandering, through, the, forest, of, Arden, ,, disguised, as, a, pretty, boy, in, hose, and, doublet, and, dainty, cap, ., She, has, been, mad, ,, and, has, come, into, the, presence, of, a, ...]|2
19|[had, made, her, feel, afraid, ., ``, Kiss, me, ,, Mother, ,, '', said, the, girl, ., Her, flowerlike, lips, touched, the, withered, cheek, and, warmed, its, frost, ., ``, My, child, !, my, child, !, '', cried, Mrs., Vane, ,, looking, up, to, the, ceiling, in, search, of, an, imaginary, gallery, ., ``, Come, ,, Sibyl, ,, '', said, her, brother, impatiently, ., He, hated, his, mother, 's, affectations, ., They, went, out, into, the, flickering, ,, wind-blown, sunlight, and, strolled, down, the, dreary, Euston, Road, ., The, passersby, glanced, in, wonder, at, the, sullen, heavy, youth, who, ,, ...]|2
20|[emotions, are, out, of, date, ., One, can, use, them, in, fiction, ,, of, course, ., But, then, the, only, things, that, one, can, use, in, fiction, are, the, things, that, one, has, ceased, to, use, in, fact, ., Believe, me, ,, no, civilized, man, ever, regrets, a, pleasure, ,, and, no, uncivilized, man, ever, knows, what, a, pleasure, is, ., '', ``, I, know, what, pleasure, is, ,, '', cried, Dorian, Gray, ., ``, It, is, to, adore, some, one, ., '', ``, That, is, certainly, better, than, being, adored, ,, '', he, answered, ,, toying, with, some, fruits, ...]|2
21|[on, to, the, grass, ,, he, drew, a, deep, breath, ., The, fresh, morning, air, seemed, to, drive, away, all, his, sombre, passions, ., He, thought, only, of, Sibyl, ., A, faint, echo, of, his, love, came, back, to, him, ., He, repeated, her, name, over, and, over, again, ., The, birds, that, were, singing, in, the, dew-drenched, garden, seemed, to, be, telling, the, flowers, about, her, ., It, was, long, past, noon, when, he, awoke, ., His, valet, had, crept, several, times, on, tiptoe, into, the, room, to, see, if, he, was, stirring, ,, and, had, wondered, what, made, ...]|2
