|0|code
0|[LE, JARDIN, ., The, lily, 's, withered, chalice, falls, Around, its, rod, of, dusty, gold, ,, And, from, the, beech, trees, on, the, wold, The, last, wood-pigeon, coos, and, calls, ., The, gaudy, leonine, sunflower, Hangs, black, and, barren, on, its, stalk, ,, And, down, the, windy, garden, walk, The, dead, leaves, scatter, ,, --, hour, by, hour, ., Pale, privet-petals, white, as, milk, Are, blown, into, a, snowy, mass, ;, The, roses, lie, upon, the, grass, ,, Like, little, shreds, of, crimson, silk, ., LA, MER, ., A, white, mist, drifts, across, the, shrouds, ,, A, wild, moon, in, ...]|2
1|[to, modern, life, ., This, is, apparent, in, the, most, cursory, stroll, through, New, York, ., In, England, an, inventor, is, regarded, almost, as, a, crazy, man, ,, and, in, too, many, instances, invention, ends, in, disappointment, and, poverty, ., In, America, an, inventor, is, honoured, ,, help, is, forthcoming, ,, and, the, exercise, of, ingenuity, ,, the, application, of, science, to, the, work, of, man, ,, is, there, the, shortest, road, to, wealth, ., There, is, no, country, in, the, world, where, machinery, is, so, lovely, as, in, America, ., I, have, always, wished, to, believe, that, the, line, ...]|2
2|[the, whole, ,, however, ,, ?, Sir, ,, ?, the, old, English, method, of, addressing, people, is, the, most, common, ., It, is, ,, perhaps, ,, worth, while, to, note, that, what, many, people, call, Americanisms, are, really, old, English, expressions, which, have, lingered, in, our, colonies, while, they, have, been, lost, in, our, own, country, ., Many, people, imagine, that, the, term, ?, I, guess, ,, ?, which, is, so, common, in, America, ,, is, purely, an, American, expression, ,, but, it, was, used, by, John, Locke, in, his, work, on, ?, The, Understanding, ,, ?, just, as, we, ...]|2
3|[travelling, manager, would, intimidate, me, ., They, are, miners, --, men, working, in, metals, ,, so, I, lectured, to, them, on, the, Ethics, of, Art, ., I, read, them, passages, from, the, autobiography, of, Benvenuto, Cellini, and, they, seemed, much, delighted, ., I, was, reproved, by, my, hearers, for, not, having, brought, him, with, me, ., I, explained, that, he, had, been, dead, for, some, little, time, which, elicited, the, enquiry, ?, Who, shot, him, ?, ?, They, afterwards, took, me, to, a, dancing, saloon, where, I, saw, the, only, rational, method, of, art, criticism, I, have, ever, come, across, ...]|2
4|[with, charming, nonchalance, ., The, men, are, entirely, given, to, business, ;, they, have, ,, as, they, say, ,, their, brains, in, front, of, their, heads, ., They, are, also, exceedingly, acceptive, of, new, ideas, ., Their, education, is, practical, ., We, base, the, education, of, children, entirely, on, books, ,, but, we, must, give, a, child, a, mind, before, we, can, instruct, the, mind, ., Children, have, a, natural, antipathy, to, books, --, handicraft, should, be, the, basis, of, education, ., Boys, and, girls, should, be, taught, to, use, their, hands, to, make, something, ,, and, they, would, be, ...]|2
5|[,, to, be, a, bit, better, than, one, 's, neighbour, was, considered, excessively, vulgar, and, middle, class, ., Nowadays, ,, with, our, modern, mania, for, morality, ,, everyone, has, to, pose, as, a, paragon, of, purity, ,, incorruptibility, ,, and, all, the, other, seven, deadly, virtues, ., And, what, is, the, result, ?, You, all, go, over, like, ninepins, --, one, after, the, other, ., All, sympathy, is, fine, ,, but, sympathy, with, suffering, is, the, least, fine, mode, ., If, you, pretend, to, be, good, the, world, takes, you, very, seriously, ., If, you, pretend, to, be, bad, it, ...]|2
6|[think, that, life, is, far, too, important, a, thing, ever, to, talk, seriously, about, it, ., What, a, pity, that, in, life, we, only, get, our, lessons, when, they, are, of, no, use, to, us, ., It, is, better, to, have, a, permanent, income, than, to, be, fascinating, ., Relations, are, simply, a, tedious, pack, of, people, who, have, n't, got, the, remotest, knowledge, of, how, to, live, nor, the, smallest, instinct, about, when, to, die, ., Charity, creates, a, multitude, of, sins, ., My, experience, is, that, as, soon, as, people, are, old, enough, to, know, better, they, do, ...]|2
7|[the, only, way, by, which, people, should, be, judged, ., In, a, very, ugly, and, sensible, age, the, arts, borrow, ,, not, from, life, ,, but, from, each, other, ., It, is, always, a, silly, thing, to, give, advice, ,, but, to, give, good, advice, is, fatal, ., Secrets, from, other, people, 's, wives, are, a, necessary, luxury, in, modern, life, ., So, ,, at, least, ,, I, am, told, at, the, club, by, people, who, are, bald, enough, to, know, better, ., But, no, man, should, have, a, secret, from, his, own, wife, ., She, invariably, finds, it, out, ...]|2
8|[omen, ., Destiny, does, not, send, us, heralds, ., She, is, too, wise, or, too, cruel, for, that, ., Crying, is, the, refuge, of, plain, women, but, the, ruin, of, pretty, ones, ., Love, art, for, its, own, sake, and, then, all, things, that, you, need, will, be, added, to, you, ., This, devotion, to, beauty, and, to, the, creation, of, beautiful, things, is, the, test, of, all, great, civilisations, ;, it, is, what, makes, the, life, of, each, citizen, a, sacrament, and, not, a, speculation, ., It, is, always, worth, while, asking, a, question, ,, though, it, is, not, ...]|2
9|[Well, ,, the, secret, of, life, is, in, art, ., The, truth, is, n't, quite, the, sort, of, thing, that, one, tells, to, a, nice, ,, sweet, ,, refined, girl, ., If, one, plays, good, music, people, do, n't, listen, ,, and, if, one, plays, bad, music, people, do, n't, talk, ., How, fond, women, are, of, doing, dangerous, things, ., It, is, one, of, the, qualities, in, them, that, I, admire, most, ., A, woman, will, flirt, with, anybody, in, the, world, as, long, as, other, people, are, looking, on, ., Englishwomen, conceal, their, feelings, till, after, they, are, ...]|2
10|[gossip, made, tedious, by, morality, ., All, beautiful, things, belong, to, the, same, age, ., It, is, personalities, ,, not, principles, ,, that, move, the, age, ., Modern, pictures, are, ,, no, doubt, ,, delightful, to, look, at, ., At, least, ,, some, of, them, are, ., But, they, are, quite, impossible, to, live, with, ;, they, are, too, clever, ,, too, assertive, ,, too, intellectual, ., Their, meaning, is, too, obvious, and, their, method, too, clearly, defined, ., One, exhausts, what, they, have, to, say, in, a, very, short, time, ,, and, then, they, become, as, tedious, as, one, ...]|2
11|[a, rule, this, must, necessarily, be, so, ., That, very, concentration, of, vision, and, inversity, of, purpose, which, is, the, characteristic, of, the, artistic, temperament, is, in, itself, a, mode, of, limitation, ., To, those, who, are, preoccupied, with, the, beauty, of, form, nothing, else, seems, of, so, much, importance, ., The, work, of, art, is, to, dominate, the, spectator, ., The, spectator, is, not, to, dominate, the, work, of, art, ., One, should, sympathise, with, the, joy, ,, the, beauty, ,, the, colour, of, life, ., The, less, said, about, life, 's, sores, the, better, ., You, ca, n't, ...]|2
12|[The, past, is, of, no, importance, ., The, present, is, of, no, importance, ., It, is, with, the, future, that, we, have, to, deal, ., For, the, past, is, what, men, should, not, have, been, ., The, present, is, what, men, ought, not, to, be, ., The, future, is, what, artists, are, ., Men, become, old, ,, but, they, never, become, good, ., By, persistently, remaining, single, a, man, converts, himself, into, a, permanent, public, temptation, ., Men, should, be, more, careful, ;, this, very, celibacy, leads, weaker, vessels, astray, ., I, think, that, in, practical, life, there, is, something, ...]|2
13|[art, ,, and, emotion, for, the, sake, of, emotion, is, the, aim, of, life, and, of, that, practical, organisation, of, life, that, we, call, society, ., Men, of, the, noblest, possible, moral, character, are, extremely, susceptible, to, the, influence, of, the, physical, charms, of, others, ., Modern, ,, no, less, than, ancient, ,, history, supplies, us, with, many, most, painful, examples, of, what, I, refer, to, ., If, it, were, not, so, ,, indeed, ,, history, would, be, quite, unreadable, ., I, am, not, in, favour, of, long, engagements, ., They, give, people, the, opportunity, of, finding, out, each, other, ...]|2
14|[no, one, else, has, a, right, to, blame, us, ., It, is, the, confession, ,, not, the, priest, ,, that, gives, us, absolution, ., There, are, only, two, kinds, of, people, who, are, really, fascinating, --, people, who, know, absolutely, everything, and, people, who, know, absolutely, nothing, ., The, public, is, wonderfully, tolerant, ;, it, forgives, everything, except, genius, ., Life, makes, us, pay, too, high, a, price, for, its, wares, ,, and, we, purchase, the, meanest, of, its, secrets, at, a, cost, that, is, monstrous, and, infinite, ., This, horrid, House, of, Commons, quite, ruins, our, husbands, for, us, ...]|2
15|[essence, is, destruction, ., If, you, think, of, anything, you, kill, it, ;, nothing, survives, being, thought, of, ., What, is, truth, ?, In, matters, of, religion, it, is, simply, the, opinion, that, has, survived, ., In, matters, of, science, it, is, the, ultimate, sensation, ., In, matters, of, art, it, is, one, 's, last, mood, ., It, is, so, easy, to, convert, others, ., It, is, so, difficult, to, convert, oneself, ., A, little, sincerity, is, a, dangerous, thing, ,, and, a, great, deal, of, it, is, absolutely, fatal, ., Life, cheats, us, with, shadows, ,, like, a, puppet-master, ...]|2
16|[is, in, love, one, begins, by, deceiving, oneself, ,, and, one, ends, by, deceiving, others, ., That, is, what, the, world, calls, a, romance, ., The, secret, of, life, is, never, to, have, an, emotion, that, is, unbecoming, ., No, artist, is, ever, morbid, ., The, artist, can, express, everything, ., The, development, of, the, race, depends, on, the, development, of, the, individual, ,, and, where, self-culture, has, ceased, to, be, the, ideal, the, intellectual, standard, is, instantly, lowered, and, often, ultimately, lost, ., An, idea, that, is, not, dangerous, is, unworthy, of, being, called, an, idea, at, all, ., ...]|2
